# Call transcript — started 2026-06-05T21:10:57.192835
# Call ID: fd23357d

[21:10:59] BOT: Hello!
[21:10:59] BOT: This
[21:10:59] BOT: is
[21:10:59] BOT: Restaurant
[21:10:59] BOT: Ordering
[21:10:59] BOT: Agent
[21:10:59] BOT: calling.
[21:10:59] BOT: Do
[21:10:59] BOT: you
[21:10:59] BOT: have
[21:10:59] BOT: a
[21:10:59] BOT: moment
[21:10:59] BOT: to
[21:10:59] BOT: talk?
[21:11:33] USER: Hello
[21:11:37] BOT: Hello!
[21:11:37] BOT: How
[21:11:37] BOT: can
[21:11:37] BOT: I
[21:11:37] BOT: assist
[21:11:37] BOT: you
[21:11:37] BOT: with
[21:11:37] BOT: your
[21:11:37] BOT: order
[21:11:37] BOT: today?
[21:12:01] USER: I want to check the order is ready or not.
[21:12:03] USER: So please check the phone number is 03244283400.
[21:12:06] BOT: One
[21:12:06] BOT: moment
[21:12:06] BOT: please,
[21:12:06] BOT: let
[21:12:06] BOT: me
[21:12:06] BOT: check
[21:12:06] BOT: that
[21:12:06] BOT: for
[21:12:06] BOT: you.
[21:12:10] BOT: One
[21:12:10] BOT: moment,
[21:12:10] BOT: let
[21:12:10] BOT: me
[21:12:10] BOT: check
[21:12:10] BOT: the
[21:12:10] BOT: records.
[21:12:14] BOT: I
[21:12:14] BOT: checked
[21:12:14] BOT: the
[21:12:14] BOT: records.
[21:12:15] BOT: On
[21:12:15] BOT: your
[21:12:15] BOT: last
[21:12:15] BOT: order
[21:12:15] BOT: placed
[21:12:15] BOT: on
[21:12:15] BOT: fourth
[21:12:15] BOT: June,
[21:12:15] BOT: you
[21:12:15] BOT: had
[21:12:15] BOT: ordered
[21:12:15] BOT: one
[21:12:15] BOT: zinger
[21:12:15] BOT: burger
[21:12:15] BOT: and
[21:12:15] BOT: one
[21:12:15] BOT: fries
[21:12:15] BOT: with
[21:12:15] BOT: delivery
[21:12:15] BOT: to
[21:12:15] BOT: Garden
[21:12:15] BOT: West
[21:12:15] BOT: Nishter
[21:12:15] BOT: Road.
[21:12:16] BOT: The
[21:12:16] BOT: total
[21:12:16] BOT: was
[21:12:16] BOT: one
[21:12:16] BOT: thousand
[21:12:16] BOT: rupees,
[21:12:16] BOT: to
[21:12:16] BOT: be
[21:12:16] BOT: delivered
[21:12:16] BOT: within
[21:12:16] BOT: half
[21:12:16] BOT: an
[21:12:16] BOT: hour.
[21:12:16] BOT: Is
[21:12:16] BOT: there
[21:12:16] BOT: anything
[21:12:16] BOT: else
[21:12:16] BOT: I
[21:12:16] BOT: can
[21:12:16] BOT: assist
[21:12:16] BOT: you
[21:12:16] BOT: with?
[21:12:39] USER: No no, thank you for your assistance.
[21:12:43] BOT: You're
[21:12:43] BOT: welcome!
[21:12:44] BOT: Have
[21:12:44] BOT: a
[21:12:44] BOT: great
[21:12:44] BOT: day.
[21:12:44] BOT: Goodbye!
