# Call transcript — started 2026-06-06T14:38:20.633667
# Call ID: 8ed44cb6

[14:38:22] BOT: Hello!
[14:38:22] BOT: Thank
[14:38:22] BOT: you
[14:38:22] BOT: for
[14:38:22] BOT: calling.
[14:38:22] BOT: How
[14:38:22] BOT: can
[14:38:22] BOT: I
[14:38:22] BOT: help
[14:38:22] BOT: you
[14:38:22] BOT: today?
[14:38:45] USER: Hello, I wanna order one chicken burger and one large pizza.
[14:38:50] BOT: Great
[14:38:50] BOT: choice!
[14:38:50] BOT: One
[14:38:50] BOT: chicken
[14:38:50] BOT: burger
[14:38:50] BOT: and
[14:38:50] BOT: one
[14:38:50] BOT: large
[14:38:50] BOT: pizza.
[14:38:50] BOT: Let
[14:38:50] BOT: me
[14:38:50] BOT: confirm
[14:38:50] BOT: the
[14:38:50] BOT: prices
[14:38:50] BOT: for
[14:38:50] BOT: you:

-
[14:38:50] BOT: Chicken
[14:38:50] BOT: Burger:
[14:38:50] BOT: six
[14:38:50] BOT: hundred
[14:38:50] BOT: fifty
[14:38:50] BOT: rupees
-
[14:38:51] BOT: Large
[14:38:51] BOT: Pizza:
[14:38:51] BOT: twenty-two
[14:38:51] BOT: hundred
[14:38:51] BOT: rupees

The
[14:38:51] BOT: subtotal
[14:38:51] BOT: is
[14:38:51] BOT: two
[14:38:51] BOT: thousand
[14:38:51] BOT: eight
[14:38:51] BOT: hundred
[14:38:51] BOT: fifty
[14:38:51] BOT: rupees.
[14:38:51] BOT: May
[14:38:51] BOT: I
[14:38:51] BOT: know
[14:38:51] BOT: if
[14:38:51] BOT: you'd
[14:38:51] BOT: like
[14:38:51] BOT: this
[14:38:51] BOT: for
[14:38:51] BOT: delivery
[14:38:51] BOT: or
[14:38:51] BOT: takeaway?
[14:39:13] USER: I learned delivery.
[14:39:17] BOT: Great!
[14:39:17] BOT: For
[14:39:17] BOT: delivery,
[14:39:17] BOT: there
[14:39:17] BOT: will
[14:39:17] BOT: be
[14:39:17] BOT: a
[14:39:17] BOT: delivery
[14:39:17] BOT: charge
[14:39:17] BOT: of
[14:39:17] BOT: two
[14:39:17] BOT: hundred
[14:39:17] BOT: rupees.
[14:39:17] BOT: So,
[14:39:17] BOT: the
[14:39:17] BOT: total
[14:39:17] BOT: amount
[14:39:17] BOT: will
[14:39:17] BOT: be
[14:39:17] BOT: three
[14:39:17] BOT: thousand
[14:39:17] BOT: fifty
[14:39:17] BOT: rupees.
[14:39:17] BOT: Can
[14:39:17] BOT: I
[14:39:17] BOT: please
[14:39:17] BOT: have
[14:39:17] BOT: your
[14:39:17] BOT: delivery
[14:39:17] BOT: address?
[14:39:40] USER: The DLE address is Garden West.
[14:39:42] BOT: Thank
[14:39:42] BOT: you.
[14:39:42] BOT: Could
[14:39:42] BOT: you
[14:39:42] BOT: also
[14:39:42] BOT: provide
[14:39:42] BOT: your
[14:39:42] BOT: name
[14:39:42] BOT: and
[14:39:42] BOT: phone
[14:39:42] BOT: number,
[14:39:42] BOT: please?
[14:39:58] USER: My name is Muhammad Hashir. D400.
[14:39:59] BOT: Thank
[14:39:59] BOT: you,
[14:39:59] BOT: Muhammad
[14:39:59] BOT: Hashir.
[14:40:00] BOT: Could
[14:40:00] BOT: you
[14:40:00] BOT: also
[14:40:00] BOT: confirm
[14:40:00] BOT: your
[14:40:00] BOT: phone
[14:40:00] BOT: number
[14:40:00] BOT: for
[14:40:00] BOT: the
[14:40:00] BOT: order?
[14:40:10] USER: Here is the phone number, I will tell you.
[14:40:12] BOT: Sure,
[14:40:12] BOT: please
[14:40:12] BOT: go
[14:40:12] BOT: ahead
[14:40:12] BOT: and
[14:40:12] BOT: provide
[14:40:12] BOT: your
[14:40:12] BOT: phone
[14:40:12] BOT: number.
[14:40:26] USER: Okay, the phone number I will repeat again
[14:40:27] USER: 040.
[14:40:29] BOT: Thank
[14:40:29] BOT: you
[14:40:29] BOT: for
[14:40:29] BOT: starting
[14:40:29] BOT: your
[14:40:29] BOT: number.
[14:40:29] BOT: Please
[14:40:29] BOT: continue
[14:40:29] BOT: with
[14:40:29] BOT: the
[14:40:29] BOT: rest
[14:40:29] BOT: of
[14:40:29] BOT: the
[14:40:29] BOT: digits
[14:40:29] BOT: so
[14:40:29] BOT: that
[14:40:29] BOT: I
[14:40:29] BOT: can
[14:40:29] BOT: note
[14:40:29] BOT: it
[14:40:29] BOT: down
[14:40:29] BOT: completely.
[14:40:50] USER: 400 is the last digit of my phone number.
[14:40:51] BOT: Thank
[14:40:51] BOT: you
[14:40:51] BOT: the
[14:40:51] BOT: additional
[14:40:51] BOT: digits.
[14:40:51] BOT: Just
[14:40:51] BOT: to
[14:40:51] BOT: confirm,
[14:40:51] BOT: is
[14:40:51] BOT: your
[14:40:51] BOT: complete
[14:40:51] BOT: phone
[14:40:51] BOT: number
[14:40:51] BOT: zero
[14:40:51] BOT: three
[14:40:51] BOT: two
[14:40:51] BOT: four
[14:40:52] BOT: four
[14:40:52] BOT: two
[14:40:52] BOT: eight
[14:40:52] BOT: three
[14:40:52] BOT: four
[14:40:52] BOT: zero
[14:40:52] BOT: zero?
[14:41:15] USER: My order is complete.
[14:41:17] BOT: I
[14:41:17] BOT: have
[14:41:17] BOT: noted
[14:41:17] BOT: down
[14:41:17] BOT: your
[14:41:17] BOT: order
[14:41:17] BOT: details.
[14:41:17] BOT: Could
[14:41:17] BOT: you
[14:41:17] BOT: please
[14:41:17] BOT: let
[14:41:17] BOT: me
[14:41:17] BOT: know
[14:41:17] BOT: how
[14:41:17] BOT: you'd
[14:41:17] BOT: like
[14:41:17] BOT: to
[14:41:17] BOT: make
[14:41:17] BOT: the
[14:41:17] BOT: payment
[14:41:17] BOT: —
[14:41:17] BOT: cash
[14:41:17] BOT: on
[14:41:17] BOT: delivery
[14:41:17] BOT: or
[14:41:17] BOT: another
[14:41:17] BOT: method?
[14:41:32] USER: The payment I will pay in cash on delivery.
[14:41:34] BOT: Thank
[14:41:34] BOT: you
[14:41:34] BOT: for
[14:41:34] BOT: choosing
[14:41:34] BOT: cash
[14:41:34] BOT: on
[14:41:34] BOT: delivery.
[14:41:34] BOT: Would
[14:41:34] BOT: you
[14:41:34] BOT: like
[14:41:34] BOT: to
[14:41:34] BOT: include
[14:41:34] BOT: any
[14:41:34] BOT: special
[14:41:34] BOT: instructions
[14:41:34] BOT: for
[14:41:34] BOT: your
[14:41:34] BOT: order?
[14:41:44] USER: No, no, nothing.
[14:41:48] BOT: Alright,
[14:41:48] BOT: your
[14:41:48] BOT: order
[14:41:48] BOT: is
[14:41:48] BOT: confirmed:

-
[14:41:48] BOT: One
[14:41:48] BOT: Chicken
[14:41:48] BOT: Burger
-
[14:41:48] BOT: One
[14:41:48] BOT: Large
[14:41:48] BOT: Pizza
-
[14:41:48] BOT: Delivery
[14:41:48] BOT: to
[14:41:48] BOT: Garden
[14:41:48] BOT: West
-
[14:41:48] BOT: Total:
[14:41:48] BOT: three
[14:41:48] BOT: thousand
[14:41:48] BOT: fifty
[14:41:48] BOT: rupees
-
[14:41:48] BOT: Payment:
[14:41:48] BOT: Cash
[14:41:48] BOT: on
[14:41:48] BOT: delivery

Your
[14:41:48] BOT: phone
[14:41:48] BOT: number
[14:41:48] BOT: is
[14:41:48] BOT: zero
[14:41:48] BOT: three
[14:41:48] BOT: two
[14:41:48] BOT: four
[14:41:48] BOT: four
[14:41:48] BOT: two
[14:41:48] BOT: eight
[14:41:48] BOT: three
[14:41:48] BOT: four
[14:41:48] BOT: zero
[14:41:48] BOT: zero.
[14:41:49] BOT: If
[14:41:49] BOT: you
[14:41:49] BOT: need
[14:41:49] BOT: anything
[14:41:49] BOT: else,
[14:41:49] BOT: feel
[14:41:49] BOT: free
[14:41:49] BOT: to
[14:41:49] BOT: ask!
[14:42:11] USER: No, no, thank you.
[14:42:14] BOT: You're
[14:42:14] BOT: welcome!
[14:42:15] BOT: Have
[14:42:15] BOT: a
[14:42:15] BOT: great
[14:42:15] BOT: day!
[14:42:15] BOT: Goodbye!
