# Call transcript — started 2026-06-08T22:55:21.103645
# Call ID: 345add9f

[22:55:38] USER: I want to place an order.
[22:55:42] BOT: Great!
[22:55:42] BOT: What
[22:55:42] BOT: would
[22:55:42] BOT: you
[22:55:43] BOT: like
[22:55:43] BOT: to
[22:55:43] BOT: order
[22:55:43] BOT: today?
[22:55:44] BOT: We
[22:55:44] BOT: have
[22:55:44] BOT: options
[22:55:44] BOT: like
[22:55:44] BOT: Zinger
[22:55:44] BOT: Burger,
[22:55:44] BOT: Chicken
[22:55:44] BOT: Burger,
[22:55:44] BOT: Large
[22:55:44] BOT: Pizza,
[22:55:44] BOT: Medium
[22:55:44] BOT: Pizza,
[22:55:44] BOT: Fries,
[22:55:44] BOT: Broast,
[22:55:44] BOT: Cold
[22:55:44] BOT: Drink
[22:55:44] BOT: Small,
[22:55:44] BOT: and
[22:55:44] BOT: Cold
[22:55:44] BOT: Drink
[22:55:44] BOT: Large.
[22:56:03] USER: Iweinwyn.
[22:56:04] USER: Chicken burger, one pizza and one small cold drink.
[22:56:07] BOT: You've
[22:56:07] BOT: ordered
[22:56:07] BOT: one
[22:56:07] BOT: Chicken
[22:56:07] BOT: Burger,
[22:56:07] BOT: one
[22:56:07] BOT: Large
[22:56:07] BOT: Pizza,
[22:56:07] BOT: and
[22:56:07] BOT: one
[22:56:07] BOT: Small
[22:56:07] BOT: Cold
[22:56:07] BOT: Drink.
[22:56:07] BOT: Let
[22:56:07] BOT: me
[22:56:07] BOT: calculate
[22:56:07] BOT: the
[22:56:07] BOT: subtotal
[22:56:07] BOT: for
[22:56:07] BOT: you.
[22:56:09] BOT: -
[22:56:09] BOT: Chicken
[22:56:09] BOT: Burger:
[22:56:09] BOT: six
[22:56:09] BOT: hundred
[22:56:09] BOT: fifty
[22:56:09] BOT: rupees
-
[22:56:09] BOT: Large
[22:56:09] BOT: Pizza:
[22:56:09] BOT: two
[22:56:09] BOT: thousand
[22:56:09] BOT: two
[22:56:09] BOT: hundred
[22:56:09] BOT: rupees
-
[22:56:09] BOT: Small
[22:56:09] BOT: Cold
[22:56:09] BOT: Drink:
[22:56:09] BOT: one
[22:56:09] BOT: hundred
[22:56:09] BOT: twenty
[22:56:09] BOT: rupees

The
[22:56:09] BOT: subtotal
[22:56:09] BOT: comes
[22:56:09] BOT: to
[22:56:09] BOT: two
[22:56:09] BOT: thousand
[22:56:09] BOT: nine
[22:56:09] BOT: hundred
[22:56:09] BOT: seventy
[22:56:09] BOT: rupees.
[22:56:10] BOT: Would
[22:56:10] BOT: you
[22:56:10] BOT: like
[22:56:10] BOT: delivery
[22:56:10] BOT: or
[22:56:10] BOT: takeaway?
[22:57:14] USER: Hello, I want a delivery.
[22:57:17] BOT: Please
[22:57:17] BOT: provide
[22:57:17] BOT: the
[22:57:17] BOT: delivery
[22:57:17] BOT: address
[22:57:17] BOT: for
[22:57:17] BOT: your
[22:57:17] BOT: order.
[22:57:26] USER: The UV address burden west.
[22:57:29] BOT: Could
[22:57:29] BOT: you
[22:57:29] BOT: please
[22:57:29] BOT: confirm
[22:57:29] BOT: the
[22:57:29] BOT: address
[22:57:29] BOT: as
[22:57:29] BOT: "Garden
[22:57:29] BOT: West"?
[22:57:30] BOT: If
[22:57:30] BOT: there's
[22:57:30] BOT: any
[22:57:30] BOT: correct
[22:57:30] BOT: street
[22:57:30] BOT: or
[22:57:30] BOT: additional
[22:57:30] BOT: details,
[22:57:30] BOT: just
[22:57:30] BOT: let
[22:57:30] BOT: me
[22:57:30] BOT: know.
[22:57:30] BOT: Also,
[22:57:30] BOT: can
[22:57:30] BOT: you
[22:57:30] BOT: provide
[22:57:30] BOT: your
[22:57:30] BOT: contact
[22:57:30] BOT: number?
[22:57:40] USER: Hello.
[22:57:49] USER: My contact number is 0324428400.
[22:57:51] BOT: Please
[22:57:51] BOT: provide
[22:57:51] BOT: your
[22:57:51] BOT: complete
[22:57:51] BOT: phone
[22:57:51] BOT: number
[22:57:52] BOT: for
[22:57:52] BOT: confirmation,
[22:57:52] BOT: including
[22:57:52] BOT: any
[22:57:52] BOT: necessary
[22:57:52] BOT: digits.
[22:57:53] BOT: Just
[22:57:53] BOT: to
[22:57:53] BOT: clarify,
[22:57:53] BOT: is
[22:57:53] BOT: it
[22:57:53] BOT: "zero
[22:57:53] BOT: three
[22:57:53] BOT: two
[22:57:53] BOT: four
[22:57:53] BOT: four
[22:57:53] BOT: two
[22:57:53] BOT: eight
[22:57:53] BOT: four
[22:57:53] BOT: zero
[22:57:53] BOT: zero
[22:57:53] BOT: zero"?
[22:58:08] USER: میرا فون نمبر ہے 0324428D400.
[22:58:11] BOT: Could
[22:58:11] BOT: you
[22:58:11] BOT: please
[22:58:12] BOT: repeat
[22:58:12] BOT: the
[22:58:12] BOT: correct
[22:58:12] BOT: phone
[22:58:12] BOT: number,
[22:58:12] BOT: digit
[22:58:12] BOT: by
[22:58:12] BOT: digit?
[22:58:14] BOT: It
[22:58:14] BOT: should
[22:58:14] BOT: be
[22:58:14] BOT: in
[22:58:14] BOT: the
[22:58:14] BOT: format:
[22:58:14] BOT: zero
[22:58:14] BOT: three
[22:58:14] BOT: two..
[22:58:14] BOT: .
[22:58:15] BOT: etc.
[22:58:24] USER: 225400.
[22:58:28] BOT: Thank
[22:58:28] BOT: you!
[22:58:39] USER: And
[22:58:43] USER: Please confirm my order.
[22:59:05] USER: Hello, can you tell me what is the subtotal of the order?
